title, tier, length, elect, simult, fee, link, note
The Avalon Literary Review, 5, 2500, y, y, 0, http://www.avalonliteraryreview.com/,-
Adelaide, 5, 5000, y, y, 3, http://adelaidemagazine.org/,-
The Bitter Oleander, 1, 2500, y, y, 0, http://www.bitteroleander.com/, -
Boulevard, 1, 8000, y, y, 3, https://www.boulevardmagazine.org/, -
The Briar Cliff Review, 1, 5000, y, y, 3, http://www.bcreview.org/, -
The Cincinnati Review, 1, 10000, y, y, 0, https://www.cincinnatireview.com/, -
Colorado Review, 1, 25p, y, y, 3, http://coloradoreview.colostate.edu/colorado-review/, -
Copper Nickel, 1, 10000, y, y, 0, http://www.copper-nickel.org/, -
Five Points, 1, 7500, y, y, 3, http://fivepoints.gsu.edu/, -
Indiana Review, 1, 8000, y, y, 3, https://indianareview.org/, -
The Missouri Review, 1, 9000, y, y, 3, http://www.missourireview.com/, -
The Southeast Review, 1, 7500, y, y, 3, http://southeastreview.org/, -
West Branch, 1, 8000, y, y, 0, http://www.bucknell.edu/WestBranchWired, -
